#Organism Name,Organism Groups,Strain,BioSample,BioProject,AssemblyAccession,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,ReleaseOrder,Year,GenBank FTP,RefSeq FTP
Junco hyemalis,Aves,,SAMN10120167,PRJNA493001,GCA_003829775.1,Scaffold,958.315,40.7,,QZWM01,4457,0,11/26/2018,946,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/829/775/GCA_003829775.1_ASM382977v1,
Larimichthys crocea,Osteichthyes,,SAMN10434301,PRJNA505758,GCA_003845795.1, Chromosome,721.257,41.3977,chromosome I:CM011674.1; chromosome II:CM011675.1; chromosome III:CM011676.1; chromosome IV:CM011677.1; chromosome V:CM011678.1; chromosome VI:CM011679.1; chromosome VII:CM011680.1; chromosome VIII:CM011681.1; chromosome IX:CM011682.1; chromosome X:CM011683.1; chromosome XI:CM011684.1; chromosome XII:CM011685.1; chromosome XIII:CM011686.1; chromosome XIV:CM011687.1; chromosome XV:CM011688.1; chromosome XVI:CM011689.1; chromosome XVII:CM011690.1; chromosome XVIII:CM011691.1; chromosome XIX:CM011692.1; chromosome XX:CM011693.1; chromosome XXI:CM011694.1; chromosome XXII:CM011695.1; chromosome XXIII:CM011696.1; chromosome XXIV:CM011697.1,RQIN01,1053,995,11/26/2018,947,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/845/795/GCA_003845795.1_LCFGL_HiC_1.0,
Cuora mccordi,Testudines,ISIS_951048,SAMN10392581,PRJNA491715,GCA_003846335.1,Scaffold,2390.37,44.6,,RQSS01,100020,0,11/28/2018,948,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/846/335/GCA_003846335.1_ASM384633v1,
Anas platyrhynchos,Aves,PK-2015,SAMN10245527,PRJNA508795,GCA_003850225.1, Chromosome,1126.18,41.6675,chromosome 1:NC_040046.1/CM011834.1; chromosome 2:NC_040047.1/CM011835.1; chromosome 3:NC_040048.1/CM011836.1; chromosome 4:NC_040049.1/CM011837.1; chromosome 5:NC_040050.1/CM011838.1; chromosome 6:NC_040051.1/CM011839.1; chromosome 7:NC_040052.1/CM011840.1; chromosome 8:NC_040053.1/CM011841.1; chromosome 9:NC_040054.1/CM011842.1; chromosome 10:NC_040055.1/CM011843.1; chromosome 11:NC_040056.1/CM011844.1; chromosome 12:NC_040057.1/CM011845.1; chromosome 13:NC_040058.1/CM011846.1; chromosome 14:NC_040059.1/CM011847.1; chromosome 15:NC_040060.1/CM011848.1; chromosome 16:NC_040061.1/CM011849.1; chromosome 17:NC_040062.1/CM011850.1; chromosome 18:NC_040063.1/CM011851.1; chromosome 19:NC_040064.1/CM011852.1; chromosome 20:NC_040065.1/CM011853.1; chromosome 21:NC_040066.1/CM011854.1; chromosome 22:NC_040067.1/CM011855.1; chromosome 23:NC_040068.1/CM011856.1; chromosome 24:NC_040069.1/CM011857.1; chromosome 25:NC_040070.1/CM011858.1; chromosome 26:NC_040071.1/CM011859.1; chromosome 27:NC_040072.1/CM011860.1; chromosome 28:NC_040073.1/CM011861.1; chromosome 29:NC_040074.1/CM011862.1; chromosome Z:NC_040075.1/CM011863.1,RHJV01,2150,39892,11/29/2018,949,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/850/225/GCA_003850225.1_IASCAAS_PekingDuck_PBH1.5,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/850/225/GCF_003850225.1_IASCAAS_PekingDuck_PBH1.5
Homo sapiens,Mammalia,HX1,SAMN04251426,PRJNA481779,GCA_003864135.1,Contig,665.09,43.3,,RRTY01,14865,0,12/5/2018,950,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/864/135/GCA_003864135.1_HX1_EEE_SV-Pop.1,
Zalophus californianus,Mammalia,,SAMEA5145493,PRJEB30031,GCA_900631625.1,Scaffold,2372.37,41.3,,UZVU01,10423,0,12/7/2018,951,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/631/625/GCA_900631625.1_zalCal2.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/631/625/GCF_900631625.1_zalCal2.2
Pungitius pungitius,Osteichthyes,Suqi River 13.3,SAMN08331111,PRJNA429208,GCA_003935095.1,Scaffold,463.371,45.6,mitochondrion MT:CM012069.1,RPGL01,170960,0,12/11/2018,952,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/935/095/GCA_003935095.1_ASM393509v1,
Hypoplectrus puella,Osteichthyes,,SAMEA4799755,PRJEB27858,GCA_900610375.1,Scaffold,612.29,39.5,,UXGA01,14375,0,12/12/2018,953,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/610/375/GCA_900610375.1_HP_genome_unmasked_01,
Platysternon megacephalum,Testudines,DO16091913,SAMN09536731,PRJNA479402,GCA_003942145.1,Scaffold,2319.09,43.7,,QXTE01,359693,0,12/12/2018,954,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/942/145/GCA_003942145.1_ASM394214v1,
Pipra filicauda,Aves,LSUMZ 115617,SAMN08774045,PRJNA513059,GCA_003945595.1,Scaffold,1110.96,42.3,,PYIH01,3744,42554,12/14/2018,955,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/945/595/GCA_003945595.1_ASM394559v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/945/595/GCF_003945595.1_ASM394559v1
Corapipo altera,Aves,COAL_440,SAMN10424454,PRJNA512899,GCA_003945725.1,Scaffold,1095.75,41.9,,RXGC01,9068,39226,12/14/2018,956,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/945/725/GCA_003945725.1_ASM394572v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/945/725/GCF_003945725.1_ASM394572v1
Amazona collaria,Aves,JAMY3,SAMN10023852,PRJNA490036,GCA_003947215.1,Scaffold,1258.72,0,,RQIO01,10638,0,12/14/2018,957,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/947/215/GCA_003947215.1_ASM394721v1,
Oryx gazella,Mammalia,OR4864,SAMN09604855,PRJNA479821,GCA_003945745.1,Scaffold,2762.92,39,,RAWW01,31177,0,12/14/2018,958,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/945/745/GCA_003945745.1_UCDavis_Ogaz_1,
Parambassis ranga,Osteichthyes,,SAMEA4675621,PRJEB30257,GCA_900634625.1, Chromosome,551.013,42.5376,chromosome 1:NC_041022.1/LR131960.1; chromosome 2:NC_041023.1/LR131970.1; chromosome 3:NC_041024.1/LR131975.1; chromosome 4:NC_041025.1/LR131976.1; chromosome 5:NC_041026.1/LR131977.1; chromosome 6:NC_041027.1/LR131978.1; chromosome 7:NC_041028.1/LR131979.1; chromosome 8:NC_041029.1/LR131980.1; chromosome 9:NC_041030.1/LR131981.1; chromosome 10:NC_041031.1/LR131961.1; chromosome 12:NC_041032.1/LR131962.1; chromosome 13:NC_041033.1/LR131963.1; chromosome 14:NC_041034.1/LR131964.1; chromosome 15:NC_041035.1/LR131965.1; chromosome 16:NC_041036.1/LR131966.1; chromosome 17:NC_041037.1/LR131967.1; chromosome 18:NC_041038.1/LR131968.1; chromosome 19:NC_041039.1/LR131969.1; chromosome 20:NC_041040.1/LR131971.1; chromosome 21:NC_041041.1/LR131972.1; chromosome 22:NC_041042.1/LR131973.1; chromosome 24:NC_041043.1/LR131974.1,CAAAFN01,156,40932,12/15/2018,959,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/634/625/GCA_900634625.1_fParRan2.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/634/625/GCF_900634625.1_fParRan2.1
Cottoperca gobio,Osteichthyes,,SAMEA104242975,PRJEB30248,GCA_900634415.1, Chromosome,609.392,40.9976,chromosome 1:NC_041355.1/LR131916.1; chromosome 2:NC_041356.1/LR131927.1; chromosome 3:NC_041357.1/LR131933.1; chromosome 4:NC_041358.1/LR131934.1; chromosome 5:NC_041359.1/LR131935.1; chromosome 6:NC_041360.1/LR131936.1; chromosome 7:NC_041361.1/LR131937.1; chromosome 8:NC_041362.1/LR131938.1; chromosome 9:NC_041363.1/LR131939.1; chromosome 10:NC_041364.1/LR131917.1; chromosome 11:NC_041365.1/LR131918.1; chromosome 12:NC_041366.1/LR131919.1; chromosome 13:NC_041367.1/LR131920.1; chromosome 14:NC_041368.1/LR131921.1; chromosome 15:NC_041369.1/LR131922.1; chromosome 16:NC_041370.1/LR131923.1; chromosome 17:NC_041371.1/LR131924.1; chromosome 18:NC_041372.1/LR131925.1; chromosome 19:NC_041373.1/LR131926.1; chromosome 20:NC_041374.1/LR131928.1; chromosome 21:NC_041375.1/LR131929.1; chromosome 22:NC_041376.1/LR131930.1; chromosome 23:NC_041377.1/LR131931.1; chromosome 24:NC_041378.1/LR131932.1,CAAAFJ01,322,37849,12/15/2018,960,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/634/415/GCA_900634415.1_fCotGob3.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/634/415/GCF_900634415.1_fCotGob3.1
Cottoperca gobio,Osteichthyes,,SAMEA104242975,PRJEB30256,GCA_900634435.1,Scaffold,671.265,41,,CAAAFL01,11555,0,12/17/2018,961,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/634/435/GCA_900634435.1_fCotGob3.1_alternate_haplotype,
Betta splendens,Osteichthyes,,SAMEA104381735,PRJEB30365,GCA_900634795.2, Chromosome,441.389,45.2975,chromosome 1:NC_040881.1/LR132024.2; chromosome 2:NC_040882.1/LR132025.2; chromosome 3:NC_040883.1/LR132008.2; chromosome 4:NC_040884.1/LR132005.2; chromosome 5:NC_040885.1/LR132018.2; chromosome 6:NC_040886.1/LR132013.2; chromosome 7:NC_040887.1/LR132010.2; chromosome 8:NC_040888.1/LR132020.2; chromosome 9:NC_040889.1/LR132023.2; chromosome 10:NC_040890.1/LR132007.2; chromosome 11:NC_040891.1/LR132019.2; chromosome 12:NC_040892.1/LR132017.2; chromosome 13:NC_040893.1/LR132006.2; chromosome 14:NC_040894.1/LR132016.2; chromosome 15:NC_040895.1/LR132021.2; chromosome 16:NC_040896.1/LR132009.2; chromosome 17:NC_040897.1/LR132015.2; chromosome 19:NC_040898.1/LR132011.2; chromosome 21:NC_040899.1/LR132022.2; chromosome 22:NC_040900.1/LR132012.2; chromosome 24:NC_040901.1/LR132014.2; mitochondrion MT:NC_026581.1/,CAAAFW02,70,49156,12/18/2018,962,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/634/795/GCA_900634795.2_fBetSpl5.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/634/795/GCF_900634795.2_fBetSpl5.2
Gouania willdenowi,Osteichthyes,,SAMEA104026382,PRJEB30359,GCA_900634775.1, Chromosome,937.151,38.4531,chromosome 1:NC_041044.1/LR131998.1; chromosome 2:NC_041045.1/LR132002.1; chromosome 3:NC_041046.1/LR132003.1; chromosome 4:NC_041047.1/LR131994.1; chromosome 5:NC_041048.1/LR131993.1; chromosome 6:NC_041049.1/LR132000.1; chromosome 7:NC_041050.1/LR131985.1; chromosome 8:NC_041051.1/LR131991.1; chromosome 9:NC_041052.1/LR131997.1; chromosome 10:NC_041053.1/LR131995.1; chromosome 11:NC_041054.1/LR131984.1; chromosome 12:NC_041055.1/LR132004.1; chromosome 13:NC_041056.1/LR131999.1; chromosome 14:NC_041057.1/LR131983.1; chromosome 15:NC_041058.1/LR131987.1; chromosome 16:NC_041059.1/LR131992.1; chromosome 17:NC_041060.1/LR131986.1; chromosome 18:NC_041061.1/LR131982.1; chromosome 19:NC_041062.1/LR131996.1; chromosome 20:NC_041063.1/LR131990.1; chromosome 21:NC_041064.1/LR132001.1; chromosome 22:NC_041065.1/LR131988.1; chromosome 24:NC_041066.1/LR131989.1,CAAAFV01,441,43478,12/18/2018,963,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/634/775/GCA_900634775.1_fGouWil2.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/634/775/GCF_900634775.1_fGouWil2.1
Calypte anna,Aves,BGI_N300,SAMN02265252,PRJNA489140,GCA_003957575.1,Scaffold,952.083,41.3,,RRCE01,3803,0,12/20/2018,964,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/957/575/GCA_003957575.1_bCalAnn1_v1.h,
Taeniopygia guttata,Aves,Black17,SAMN02981239,PRJNA489099,GCA_003957525.1,Scaffold,965.644,0,,RRCC01,5336,0,12/20/2018,965,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/957/525/GCA_003957525.1_bTaeGut1_v1.h,
Taeniopygia guttata,Aves,Black17,SAMN02981239,PRJNA558048,GCA_003957565.3, Chromosome,1058.01,42.0167,chromosome 1:CM012081.1; chromosome 1A:CM012082.1; chromosome 2:CM012083.1; chromosome 3:CM012084.1; chromosome 4:CM012085.1; chromosome 4A:CM012086.1; chromosome 5:CM012087.1; chromosome 6:CM012088.1; chromosome 7:CM012089.1; chromosome 8:CM012090.1; chromosome 9:CM012091.1; chromosome 10:CM012092.1; chromosome 11:CM012093.1; chromosome 12:CM012094.1; chromosome 13:CM012095.1; chromosome 14:CM012096.1; chromosome 15:CM012097.1; chromosome 16:CM012098.1; chromosome 17:CM012099.1; chromosome 18:CM012100.1; chromosome 19:CM012101.1; chromosome 20:CM012102.1; chromosome 21:CM012103.1; chromosome 22:CM012104.1; chromosome 23:CM012105.1; chromosome 24:CM012106.1; chromosome 25:CM012107.1; chromosome 26:CM012108.1; chromosome 27:CM012110.1; chromosome 28:CM012112.1; chromosome 31:CM025860.1; chromosome 32:CM025861.1; chromosome 33:CM025862.1; chromosome 34:CM025863.1; chromosome 35:CM025864.1; chromosome 36:CM025865.1; chromosome Z:CM012113.1; chromosome 29:CM012109.1; chromosome 30:CM012111.1; mitochondrion MT:CM016613.1,RRCB01,135,0,12/20/2018,966,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/957/565/GCA_003957565.3_bTaeGut1.pri.v2,
Calypte anna,Aves,BGI_N300,SAMN02265252,PRJNA558503,GCA_003957555.2, Chromosome,1059.69,41.6288,chromosome 1:NC_044244.1/CM012114.1; chromosome 2:NC_044245.1/CM012115.1; chromosome 3:NC_044246.1/CM012116.1; chromosome 4:NC_044247.1/CM012117.1; chromosome 4A:NC_044248.1/CM012143.1; chromosome 4B:NC_044249.1/CM012144.1; chromosome 5:NC_044250.1/CM012118.1; chromosome 5A:NC_044251.1/CM012145.1; chromosome 6:NC_044252.1/CM012119.1; chromosome 7:NC_044253.1/CM012120.1; chromosome 8:NC_044254.1/CM012121.1; chromosome 9:NC_044255.1/CM012122.1; chromosome 10:NC_044256.1/CM012123.1; chromosome 11:NC_044257.1/CM012124.1; chromosome 12:NC_044258.1/CM012125.1; chromosome 13:NC_044259.1/CM012126.1; chromosome 14:NC_044260.1/CM012127.1; chromosome 15:NC_044261.1/CM012128.1; chromosome 17:NC_044262.1/CM012129.1; chromosome 18:NC_044263.1/CM012130.1; chromosome 19:NC_044264.1/CM012131.1; chromosome 20:NC_044265.1/CM012132.1; chromosome 21:NC_044266.1/CM012133.1; chromosome 22:NC_044267.1/CM012134.1; chromosome 23:NC_044268.1/CM012135.1; chromosome 24:NC_044269.1/CM012136.1; chromosome 25:NC_044270.1/CM012137.1; chromosome 26:NC_044271.1/CM012138.1; chromosome 27:NC_044272.1/CM012139.1; chromosome 28:NC_044273.1/CM012140.1; chromosome Z:NC_044274.1/CM012142.1; chromosome W:NC_044276.1/CM012146.1; chromosome 33:NC_044275.1/CM012141.1; mitochondrion MT:CM016612.1,RRCD01,159,29214,12/20/2018,967,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/957/555/GCA_003957555.2_bCalAnn1_v1.p,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/957/555/GCF_003957555.1_bCalAnn1_v1.p
Neopelma chrysocephalum,Aves,,SAMN08784363,PRJNA513341,GCA_003984885.2,Scaffold,1142.8,42.4,,RDMT01,42063,39443,12/28/2018,968,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/984/885/GCA_003984885.2_ASM398488v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/984/885/GCF_003984885.1_ASM398488v2
Clarias batrachus,Osteichthyes,FL201406,SAMN09480820,PRJNA477835,GCA_003987875.1,Scaffold,821.75,0,,QMIH01,10042,0,12/31/2018,969,2018,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/987/875/GCA_003987875.1_ASM398787v1,
Oryzias javanicus,Osteichthyes,RS831,SAMN10417210,PRJNA505405,GCA_003999625.1, Chromosome,809.68,38.9689,chromosome 1:CM012437.1; chromosome 2:CM012438.1; chromosome 3:CM012439.1; chromosome 4:CM012440.1; chromosome 5:CM012441.1; chromosome 6:CM012442.1; chromosome 7:CM012443.1; chromosome 8:CM012444.1; chromosome 9:CM012445.1; chromosome 10:CM012446.1; chromosome 11:CM012447.1; chromosome 12:CM012448.1; chromosome 13:CM012449.1; chromosome 14:CM012450.1; chromosome 15:CM012451.1; chromosome 16:CM012452.1; chromosome 17:CM012453.1; chromosome 18:CM012454.1; chromosome 19:CM012455.1; chromosome 20:CM012456.1; chromosome 21:CM012457.1; chromosome 22:CM012458.1; chromosome 23:CM012459.1; chromosome 24:CM012460.1,RWID01,254,21454,1/3/2019,970,2019,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/999/625/GCA_003999625.1_OJAV_1.1,
Himantopus himantopus leucocephalus,Aves,B60480,SAMN10386166,PRJNA503940,GCA_003993805.1,Scaffold,1116.81,41.6,,RSEF01,1442,0,1/4/2019,971,2019,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/993/805/GCA_003993805.1_UO_Hhiman_2.0,
Laticauda laticaudata,Squamata,,SAMD00132327,PRJDB7226,GCA_004320025.1,Scaffold,1558.71,40.1,,BHFT01,83587,0,1/8/2019,972,2019,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/320/025/GCA_004320025.1_latLat_1.0,
Emydocephalus ijimae,Squamata,,SAMD00132326,PRJDB7221,GCA_004319985.1,Scaffold,1625.2,40.3,,BHEV01,157858,0,1/8/2019,973,2019,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/319/985/GCA_004319985.1_emyIji_1.0,
Hydrophis melanocephalus,Squamata,,SAMD00134211,PRJDB7271,GCA_004320005.1,Scaffold,1402.64,34.8,,BHFS01,122022,0,1/8/2019,974,2019,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/320/005/GCA_004320005.1_hydMel_1.0,
Laticauda colubrina,Squamata,,SAMD00134349,PRJDB7284,GCA_004320045.1,Scaffold,2024.69,35.6,,BHFR01,62906,0,1/8/2019,975,2019,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/320/045/GCA_004320045.1_latCor_1.0,
Chiloscyllium plagiosum,Chondrichthyes,BGI_BamShark_2017,SAMN09508879,PRJNA478295,GCA_004010195.1, Chromosome,3776.55,42.0371,chromosome 1:CM012956.1; chromosome 2:CM012957.1; chromosome 3:CM012958.1; chromosome 4:CM012959.1; chromosome 5:CM012960.1; chromosome 6:CM012961.1; chromosome 7:CM012962.1; chromosome 8:CM012963.1; chromosome 9:CM012964.1; chromosome 10:CM012965.1; chromosome 11:CM012966.1; chromosome 12:CM012967.1; chromosome 13:CM012968.1; chromosome 14:CM012969.1; chromosome 15:CM012970.1; chromosome 16:CM012971.1; chromosome 17:CM012972.1; chromosome 18:CM012973.1; chromosome 19:CM012974.1; chromosome 20:CM012975.1; chromosome 21:CM012976.1; chromosome 22:CM012977.1; chromosome 23:CM012978.1; chromosome 24:CM012979.1; chromosome 25:CM012980.1; chromosome 26:CM012981.1; chromosome 27:CM012982.1; chromosome 28:CM012983.1; chromosome 29:CM012984.1; chromosome 30:CM012985.1; chromosome 31:CM012986.1; chromosome 32:CM012987.1; chromosome 33:CM012988.1; chromosome 34:CM012989.1; chromosome 35:CM012990.1; chromosome 36:CM012991.1; chromosome 37:CM012992.1; chromosome 38:CM012993.1; chromosome 39:CM012994.1; chromosome 40:CM012995.1; chromosome 41:CM012996.1; chromosome 42:CM012997.1; chromosome 43:CM012998.1; chromosome 44:CM012999.1; chromosome 45:CM013000.1; chromosome 46:CM013001.1; chromosome 47:CM013002.1; chromosome 48:CM013003.1; chromosome 49:CM013004.1; chromosome 50:CM013005.1; chromosome 51:CM013006.1,QPFF01,601049,0,1/9/2019,976,2019,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/010/195/GCA_004010195.1_ASM401019v1,
Ictidomys tridecemlineatus,Mammalia,GS200,SAMN08111062,PRJNA420392,GCA_004006685.1,Scaffold,2478.64,37.2,,PTPW01,10007,0,1/9/2019,977,2019,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/006/685/GCA_004006685.1_ASM400668v1,
Strigops habroptila,Aves,Jane,SAMN09948751,PRJNA489134,GCA_004011185.1,Scaffold,285.707,41.7,,RXXF01,3728,0,1/10/2019,978,2019,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/011/185/GCA_004011185.1_bStrHab1_v1.h,
Strigops habroptila,Aves,Jane,SAMN09948751,PRJNA558775,GCA_004027225.2, Chromosome,1148.6,42.0327,chromosome 1:NC_044277.2/CM013761.2; chromosome 2:NC_044278.2/CM013762.2; chromosome 3:NC_044279.2/CM013764.2; chromosome 4:NC_046358.1/CM013765.1; chromosome 5:NC_044281.2/CM013766.2; chromosome 6:NC_044282.2/CM013767.2; chromosome 7:NC_044283.2/CM013768.2; chromosome 8:NC_044284.2/CM013769.2; chromosome 9:NC_044285.2/CM013770.2; chromosome 10:NC_046359.1/CM013771.1; chromosome 11:NC_046360.1/CM013772.1; chromosome 12:NC_044288.2/CM013774.2; chromosome 13:NC_044289.2/CM013775.2; chromosome 14:NC_044290.2/CM013776.2; chromosome 15:NC_044291.2/CM013777.2; chromosome 16:NC_044292.2/CM013778.2; chromosome 17:NC_044293.2/CM013779.2; chromosome 18:NC_044294.2/CM013780.2; chromosome 19:NC_044295.2/CM013781.2; chromosome 20:NC_044296.2/CM013782.2; chromosome 21:NC_044297.2/CM013783.2; chromosome 22:NC_044298.2/CM013784.2; chromosome 23:NC_044299.2/CM013785.2; chromosome W:NC_044301.2/CM013773.2; chromosome Z:NC_044302.2/CM013763.2; mitochondrion MT:CM013787.2,RXXE02,89,43613,1/10/2019,979,2019,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/225/GCA_004027225.2_bStrHab1.2.pri,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/027/225/GCF_004027225.2_bStrHab1.2.pri
Gouania willdenowi,Osteichthyes,,SAMEA104026382,PRJEB30360,GCA_900650505.1,Scaffold,759.273,38.2,,CAABOW01,7674,0,1/10/2019,980,2019,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/650/505/GCA_900650505.1_fGouWil2.1_alternate_haplotype,
Parambassis ranga,Osteichthyes,,SAMEA4675621,PRJEB30258,GCA_900651595.1,Scaffold,486.545,42.1,,CAABQF01,2242,0,1/10/2019,981,2019,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/651/595/GCA_900651595.1_fParRan2.1_alternate_haplotype,
Anabas testudineus,Osteichthyes,,SAMEA104026376,PRJEB30391,GCA_900650485.1,Scaffold,539.091,40.2,,CAABOV01,2641,0,1/10/2019,982,2019,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/650/485/GCA_900650485.1_fAnaTes1.2_alternate_haplotype,
Cyprinus carpio,Osteichthyes,GM00,SAMN10617437,PRJNA510861,GCA_004011555.1,Scaffold,1414.71,35.5,,SAUK01,18488,0,1/10/2019,983,2019,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/011/555/GCA_004011555.1_German_Mirror_carp_1.0,
Cyprinus carpio,Osteichthyes,YR00,SAMN10617435,PRJNA510861,GCA_004011575.1,Scaffold,1423.63,36.1,,SAUI01,143821,0,1/10/2019,984,2019,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/011/575/GCA_004011575.1_Hunaghe_carp_2.0,
Betta splendens,Osteichthyes,,SAMEA104381735,PRJEB30366,GCA_900651605.1,Scaffold,426.644,45.5,,CAABQE01,3705,0,1/10/2019,985,2019,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/651/605/GCA_900651605.1_fBetSpl5.1_alternate_haplotype,
Cyprinus carpio,Osteichthyes,HB00,SAMN10617436,PRJNA510861,GCA_004011595.1,Scaffold,1457.98,36,,SAUJ01,260608,0,1/10/2019,986,2019,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/011/595/GCA_004011595.1_Hebao_red_carp_1.0,
Recurvirostra avosetta,Aves,S068744-2018,SAMN10518521,PRJNA508229,GCA_004023745.1,Scaffold,1193.28,41.9,,SAYO01,35873,0,1/15/2019,987,2019,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/023/745/GCA_004023745.1_ASM402374v1,
Tamandua tetradactyla,Mammalia,US055,SAMN07678112,PRJNA399420,GCA_004025105.1,Scaffold,3849.37,39.5,,PVIF01,2144204,0,1/15/2019,988,2019,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/025/105/GCA_004025105.1_TamTet_v1_BIUU,
Tapirus terrestris,Mammalia,BS40,SAMN07678114,PRJNA399422,GCA_004025025.1,Scaffold,2571.46,41.1,,PVID01,803506,0,1/15/2019,989,2019,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/025/025/GCA_004025025.1_TapTer_v1_BIUU,
Tapirus indicus,Mammalia,BS100,SAMN07678113,PRJNA399421,GCA_004024905.1,Scaffold,2425.2,40.9,,PVIE01,280135,0,1/15/2019,990,2019,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/024/905/GCA_004024905.1_TapInd_v1_BIUU,
Tolypeutes matacus,Mammalia,US073,SAMN07678115,PRJNA399423,GCA_004025125.1,Scaffold,4115.03,39.2,,PVIB01,2925507,0,1/15/2019,991,2019,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/025/125/GCA_004025125.1_TolMat_v1_BIUU,
Helogale parvula,Mammalia,US077,SAMN07678086,PRJNA399396,GCA_004023845.1,Scaffold,2392.47,41.8,,PJEM01,189370,0,1/15/2019,992,2019,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/023/845/GCA_004023845.1_HelPar_v1_BIUU,
Spilogale gracilis,Mammalia,US072,SAMN07678050,PRJNA399437,GCA_004023965.1,Scaffold,2463.32,41.6,,PITA01,422009,0,1/15/2019,993,2019,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/023/965/GCA_004023965.1_SpiGra_v1_BIUU,
Paradoxurus hermaphroditus,Mammalia,BSD07,SAMN07678048,PRJNA399364,GCA_004024585.1,Scaffold,2477.23,42.5,,PITB01,438125,0,1/15/2019,994,2019,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/024/585/GCA_004024585.1_ParHer_v1_BIUU,
